project,department,category,year,project_id,cost_m,variance_pct,duration_months,rating,delivery_score,cost_score,duration_score,variance_score,risk_score,risk_tier,source_file
Government Hubs and Whitehall Campus Programme,CO,Government Transformation and Service Delivery,2024-25,CO_0133_2223-Q1,558.0,12.79,178.97503285151117,,,15,20,10,,Not scored,GMPP_2024_25.xlsx
Manchester Digital Campus,CO,Government Transformation and Service Delivery,2024-25,CO_0438_2425-Q3,1443.7,,68.72536136662286,AMBER,25.0,20,15,0,60.0,High,GMPP_2024_25.xlsx
WORKPLACE SERVICES TRANSFORMATION PROGRAMME,CO,Government Transformation and Service Delivery,2024-25,CO_0029_2021-Q4,1059.0,7.5,,,,20,0,5,,Not scored,GMPP_2024_25.xlsx
Civil Service Pensions 2015 Remedy,CO,Government Transformation and Service Delivery,2024-25,CO_0024_2021-Q2,50.5,17.39,49.34296977660972,,,5,10,10,,Not scored,GMPP_2024_25.xlsx
ATS Transformation,CO,Government Transformation and Service Delivery,2024-25,CO_0281_2324-Q2,42.12,10.73,68.92247043363994,,,5,15,10,,Not scored,GMPP_2024_25.xlsx
Future Service Programme,CO,ICT,2024-25,CO_0027_2021-Q4,239.0,0.0,,,,10,0,0,,Not scored,GMPP_2024_25.xlsx
Transforming Public Procurement,CO,Government Transformation and Service Delivery,2024-25,CO_0120_2223-Q1,31.5,13.24,62.91064388961892,,,5,15,10,,Not scored,GMPP_2024_25.xlsx
Falcon Programme,CO,Government Transformation and Service Delivery,2024-25,CO_0176_2223-Q3,23.7,5.83,,,,5,0,5,,Not scored,GMPP_2024_25.xlsx
ROSA RENEWAL PROJECT,CO,ICT,2024-25,CO_0210_2223-Q4,51.0,0.0,35.972404730617605,,,5,5,0,,Not scored,GMPP_2024_25.xlsx
AUTOMOTIVE TRANSFORMATION FUND (ATF),DBT,Infrastructure and Construction,2024-25,BEIS_0090_2122-Q4,671.0,37.64,,,,15,0,15,,Not scored,GMPP_2024_25.xlsx
POST OFFICE - NEW IT SYSTEM,DBT,ICT,2024-25,DBT_0293_2324-Q3,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
British Museum - Energy Centre Programme (ECP),DCMS,Infrastructure and Construction,2024-25,DCMS_0254_2324-Q1,209.0,66.02,93.00262812089356,,,10,15,15,,Not scored,GMPP_2024_25.xlsx
Youth Investment Fund,DCMS,Infrastructure and Construction,2024-25,DCMS_0118_2223-Q1,310.0,3.8,47.96320630749014,AMBER,25.0,10,10,5,50.0,High,GMPP_2024_25.xlsx
4th National Lottery Licence,DCMS,Government Transformation and Service Delivery,2024-25,DCMS_0013_1819-Q3,154.85,3.71,85.4796320630749,,,10,15,5,,Not scored,GMPP_2024_25.xlsx
EURO 2028,DCMS,Government Transformation and Service Delivery,2024-25,DCMS_0321_2324-Q3,,,77.66097240473061,AMBER,25.0,0,15,0,40.0,Medium,GMPP_2024_25.xlsx
